STATE,Year,Total,Number,"Standard
error",Percent,"Standard
error"
Arizona,1981,2751,323,51,11.7,1.7
Arkansas,1981,2247,541,65,24.1,2.5
California,1981,24112,3216,159,13.3,0.6
Colorado,1981,2958,285,48,9.6,1.5
Connecticut,1981,3084,254,45,8.2,1.4
Delaware,1981,587,72,24,12.3,3.8
D.C.,1981,612,111,30,18.1,4.4
Florida,1981,10277,1704,116,16.6,1
Georgia,1981,5415,881,84,16.3,1.4
Hawaii,1981,953,108,29,11.3,2.9
Idaho,1981,962,171,37,17.7,3.5
Illinois,1981,11338,1371,104,12.1,0.9
Indiana,1981,5431,685,74,12.6,1.3
Iowa,1981,2815,368,54,13.1,1.8
Kansas,1981,2282,267,46,11.7,1.9
Kentucky,1981,3668,708,75,19.3,1.8
Louisiana,1981,4262,938,86,22,1.8
Maine,1981,1116,179,38,16,3.1
Maryland,1981,4123,442,59,10.7,1.4
Massachusetts,1981,5804,518,64,8.9,1.1
Michigan,1981,9096,1184,97,13,1
Minnesota,1981,4034,438,59,10.9,1.4
Mississippi,1981,2408,618,70,25.7,2.5
Missouri,1981,4814,634,71,13.2,1.4
Montana,1981,813,107,29,13.1,3.3
Nebraska,1981,1579,221,42,14,2.5
Nevada,1981,884,93,27,10.5,2.9
New Hampshire,1981,929,70,24,7.6,2.4
New Jersey,1981,7331,736,76,10,1
New Mexico,1981,1303,243,44,18.6,3
New York,1981,17471,2516,141,14.4,0.7
North Carolina,1981,5820,1016,90,17.5,1.4
North Dakota,1981,626,89,27,14.2,3.9
Ohio,1981,10751,1369,104,12.7,0.9
Oklahoma,1981,2985,413,57,13.8,1.8
Oregon,1981,2693,331,51,12.3,1.8
Pennsylvania,1981,11738,1367,104,11.6,0.8
Rhode Island,1981,936,109,29,11.7,3
South Carolina,1981,3347,615,70,18.4,1.9
South Dakota,1981,675,132,32,19.5,4.3
Tennessee,1981,4502,943,86,20.9,1.7
Texas,1981,14641,2258,133,15.4,0.8
Utah,1981,1516,185,38,12.2,2.4
Vermont,1981,535,66,23,12.3,4
Virginia,1981,5257,662,72,12.6,1.3
Washington,1981,4168,471,61,11.3,1.4
West Virginia,1981,2003,398,56,19.9,2.5
Wisconsin,1981,4741,384,55,8.1,1.1
Wyoming,1981,482,43,18,8.9,3.7
Alabama,1980,3831,810,80,21.2,1.9
Alaska,1980,379,36,17,9.6,4.3
Arizona,1980,2774,354,53,12.8,1.8
Arkansas,1980,2249,484,62,21.5,2.4
California,1980,23748,2619,144,11,0.6
Colorado,1980,2869,247,44,8.6,1.5
Connecticut,1980,3090,255,45,8.3,1.4
Delaware,1980,578,68,23,11.8,3.8
D.C.,1980,626,131,32,20.9,4.6
Florida,1980,10100,1692,116,16.7,1
Georgia,1980,5243,727,76,13.9,1.3
Hawaii,1980,954,81,25,8.5,2.5
Idaho,1980,934,138,33,14.7,3.3
Illinois,1980,11259,1386,105,12.3,0.9
Indiana,1980,5490,645,72,11.8,1.2
Iowa,1980,2868,311,50,10.8,1.6
Kansas,1980,2286,215,41,9.4,1.7
Kentucky,1980,3641,701,75,19.3,1.8
Louisiana,1980,4273,868,83,20.3,1.7
Maine,1980,1077,158,35,14.6,3
Maryland,1980,4104,389,56,9.5,1.3
Massachusetts,1980,5725,542,66,9.5,1.1
Michigan,1980,9227,1194,97,12.9,1
Minnesota,1980,3920,342,52,8.7,1.3
Mississippi,1980,2429,591,68,24.3,2.5
Missouri,1980,4800,625,70,13,1.4
Montana,1980,774,102,29,13.2,3.4
Nebraska,1980,1532,199,40,13,2.4
Nevada,1980,840,70,24,8.3,2.7
New Hampshire,1980,907,63,22,7,2.4
New Jersey,1980,7316,659,72,9,0.9
New Mexico,1980,1304,268,46,20.6,3.2
New York,1980,17321,2391,137,13.8,0.7
North Carolina,1980,5836,877,83,15,1.3
North Dakota,1980,640,99,28,15.5,4
Ohio,1980,10630,1046,91,9.8,0.8
Oklahoma,1980,2916,406,57,13.9,1.8
Oregon,1980,2684,309,50,11.5,1.7
Pennsylvania,1980,11665,1142,95,9.8,0.8
Rhode Island,1980,911,97,28,10.7,2.9
South Carolina,1980,3174,534,65,16.8,1.9
South Dakota,1980,677,127,32,18.8,4.2
Tennessee,1980,4519,884,84,19.6,1.7
Texas,1980,14326,2247,133,15.7,0.9
Utah,1980,1488,148,34,10,2.2
Vermont,1980,520,62,22,12,4
Virginia,1980,5204,647,72,12.4,1.3
Washington,1980,4223,538,65,12.7,1.4
West Virginia,1980,1952,297,49,15.2,2.3
Wisconsin,1980,4724,403,57,8.5,1.1
Wyoming,1980,468,49,20,10.4,4
